record_id,date,source,client_name,contact_role,product_area,raw_text,status,priority,owner,original_channel,theme,sentiment,is_open_or_unresolved,is_repeated_issue,severity,business_impact,renewal_risk_signal,recommended_action,summary
TKT-7FFC6F78,2024-11-17,support_ticket,Harborview Community Bank,CFO,Core Banking,Compliance report for Reg CC cannot be generated — field mapping broken.,Resolved,Medium,Taylor Brooks,Support Portal,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Compliance report for Reg CC cannot be generated — field mapping broken.
TKT-B0B3C94E,2024-11-30,support_ticket,Harborview Community Bank,Loan Operations Manager,User Management,Interest calculation rounding error in loan amortization schedule.,Open,Medium,Taylor Brooks,Support Portal,Payment Reconciliation,Negative,True,False,Medium,High,High,Confirm payment reconciliation status with account team,Interest calculation rounding error in loan amortization schedule.
EM-96412EC9,2024-12-03,account_email,Harborview Community Bank,Branch Manager,Reporting & Analytics,The compliance team is asking about BSA reporting capabilities. Can you confirm the timeline for the fix?,Awaiting Response,Medium,Casey Patel,Email,Compliance Reporting,Neutral,True,True,Medium,High,High,Review compliance reporting capabilities before renewal call,The compliance team is asking about BSA reporting capabilities. Can you confirm the timeline for the fix?
QBR-799125BB,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Dashboard,Discussed role-based access roadmap. Client expects delivery by February 2026. Noted as committed.,No Action Required,Medium,Casey Patel,QBR Meeting,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Discussed role-based access roadmap. Client expects delivery by February 2026. Noted as committed.
QBR-8919F1D0,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.,Completed,Medium,Taylor Brooks,QBR Meeting,Lending Workflow,Neutral,False,True,Medium,High,High,Review lending workflow open items before next QBR,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.
FB-659D69A7,2024-12-20,product_feedback,Harborview Community Bank,VP of Operations,Lending Workflow,The Core Banking dashboard is missing key metrics our compliance team needs for BSA.,Reviewed,High,,Feedback Form,Compliance Reporting,Negative,False,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,The Core Banking dashboard is missing key metrics our compliance team needs for BSA.
EM-FFB8D820,2024-12-30,account_email,Harborview Community Bank,Branch Manager,Integrations,"Hi Casey, just following up on the Data Exports issue we discussed last week — still no resolution and my team is using manual workarounds daily.",Escalated,High,Jordan Kim,Email,Manual Workaround,Negative,True,False,High,High,High,Prioritize automation fix — client is absorbing ongoing operational cost,"Hi Casey, just following up on the Data Exports issue we discussed last week — still no resolution and my team is using manual…"
TKT-BBE40D3F,2025-01-17,support_ticket,Harborview Community Bank,IT Director,Lending Workflow,Compliance report for Reg E cannot be generated — field mapping broken.,Open,High,Jordan Kim,Support Portal,Compliance Reporting,Negative,True,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,Compliance report for Reg E cannot be generated — field mapping broken.
FB-FDE7A7F6,2025-02-02,product_feedback,Harborview Community Bank,IT Director,Reporting & Analytics,Admin & Permissions integration with our core system still feels brittle — we get silent failures weekly.,Pending Review,Low,,Feedback Form,Admin Permissions,Negative,True,False,Low,Medium,Medium,Confirm owner and next step with client,Admin & Permissions integration with our core system still feels brittle — we get silent failures weekly.
TKT-9E92298B,2025-02-08,support_ticket,Harborview Community Bank,Branch Manager,Core Banking,Admin permission change for new user user446 not propagating to sub-modules.,In Progress,Critical,Alex Rivera,Support Portal,Admin Permissions,Neutral,True,True,High,High,High,Review admin permission issues and provide resolution path,Admin permission change for new user user446 not propagating to sub-modules.
EM-F237372F,2025-02-14,account_email,Harborview Community Bank,CFO,Admin & Permissions,Our auditors have flagged the missing audit trail in Lending Workflow. This is now a regulatory risk for us.,Resolved,Medium,Jordan Kim,Email,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Our auditors have flagged the missing audit trail in Lending Workflow. This is now a regulatory risk for us.
EM-31F0648A,2025-02-15,account_email,Harborview Community Bank,Loan Operations Manager,Data Exports,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Closed,Medium,Morgan Lee,Email,Admin Permissions,Negative,False,True,Medium,Medium,High,Confirm permission workflow improvements with IT contact,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.
FB-82C9753A,2025-03-02,product_feedback,Harborview Community Bank,Branch Manager,Admin & Permissions,Admin & Permissions API documentation is outdated — our IT team wasted 3 days on a stale endpoint.,Reviewed,High,,Feedback Form,Admin Permissions,Negative,False,True,High,High,High,Review admin permission issues and provide resolution path,Admin & Permissions API documentation is outdated — our IT team wasted 3 days on a stale endpoint.
TKT-B6419343,2025-03-16,support_ticket,Harborview Community Bank,IT Director,Core Banking,Core banking sync with Data Exports delayed by up to 4 hours during peak load.,Resolved,Critical,Alex Rivera,Support Portal,Follow-up / Ownership,Neutral,False,True,High,High,High,Assign owner immediately and send client acknowledgment within 24 hours,Core banking sync with Data Exports delayed by up to 4 hours during peak load.
QBR-9BF3D571,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,"Outstanding commitment: date range filter for Compliance Reporting module — originally promised in Q3 2024, still open.",Overdue,Medium,Jordan Kim,QBR Meeting,Compliance Reporting,Neutral,True,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,"Outstanding commitment: date range filter for Compliance Reporting module — originally promised in Q3 2024, still open."
QBR-3FB82AB8,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Data Exports,Feature gap: no bulk date range filter capability — client using spreadsheet workaround.,Completed,Medium,Alex Rivera,QBR Meeting,Manual Workaround,Neutral,False,False,Medium,Medium,Low,Prepare roadmap response on manual workaround reduction,Feature gap: no bulk date range filter capability — client using spreadsheet workaround.
FB-0723D137,2025-03-26,product_feedback,Harborview Community Bank,Loan Operations Manager,Data Exports,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.,Reviewed,Low,,Feedback Form,Admin Permissions,Neutral,False,True,Low,Medium,Medium,Review record and include in account health summary,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.
EM-E7C6879F,2025-04-11,account_email,Harborview Community Bank,Core Banking Admin,Core Banking,The User Management dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Resolved,Medium,Casey Patel,Email,Follow-up / Ownership,Negative,False,True,Medium,Medium,High,Confirm owner and next step with client before renewal,The User Management dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.
EM-5F4E77AD,2025-04-20,account_email,Harborview Community Bank,VP of Operations,Admin & Permissions,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?,Resolved,High,Taylor Brooks,Email,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?
TKT-BC2156DC,2025-05-06,support_ticket,Harborview Community Bank,Compliance Officer,Dashboard,Regulatory exam prep — need historical loan pipeline report for past 24 months.,Resolved,Medium,Jordan Kim,Support Portal,Compliance Reporting,Neutral,False,False,Medium,High,Medium,Review compliance reporting capabilities before renewal call,Regulatory exam prep — need historical loan pipeline report for past 24 months.
TKT-398DD6B2,2025-05-10,support_ticket,Harborview Community Bank,Branch Manager,Integrations,User unable to run loan pipeline report — system times out after 30 seconds. This is blocking month-end close.,Resolved,High,Morgan Lee,Support Portal,Lending Workflow,Negative,False,False,High,High,High,Escalate repeated lending workflow issue to product as renewal blocker,User unable to run loan pipeline report — system times out after 30 seconds. This is blocking month-end close.
TKT-2C75A88C,2025-05-21,support_ticket,Harborview Community Bank,Compliance Officer,Core Banking,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.,Resolved,Low,Casey Patel,Support Portal,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.
FB-A2AAF6C9,2025-05-28,product_feedback,Harborview Community Bank,Core Banking Admin,Core Banking,I wish Admin & Permissions had a drill-down option — it would eliminate our biggest manual step.,Pending Review,Low,,Feedback Form,Manual Workaround,Neutral,True,False,Low,Medium,Low,Confirm owner and next step with client,I wish Admin & Permissions had a drill-down option — it would eliminate our biggest manual step.
QBR-AA05FDCA,2025-06-16,qbr_notes,Harborview Community Bank,VP of Operations,Compliance Reporting,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.,Completed,Medium,Morgan Lee,QBR Meeting,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.
QBR-A4608ECE,2025-06-16,qbr_notes,Harborview Community Bank,Core Banking Admin,Reporting & Analytics,Client requested dedicated CSM contact for compliance-related questions.,No Action Required,Medium,Casey Patel,QBR Meeting,Compliance Reporting,Neutral,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Client requested dedicated CSM contact for compliance-related questions.
EM-EDFAA810,2025-06-16,account_email,Harborview Community Bank,Core Banking Admin,Reporting & Analytics,Our auditors have flagged the missing audit trail in Compliance Reporting. This is now a regulatory risk for us.,Resolved,High,Morgan Lee,Email,Compliance Reporting,Negative,False,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,Our auditors have flagged the missing audit trail in Compliance Reporting. This is now a regulatory risk for us.
EM-459E1612,2025-08-13,account_email,Harborview Community Bank,Branch Manager,User Management,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Awaiting Response,High,Alex Rivera,Email,Admin Permissions,Negative,True,True,High,High,High,Review admin permission issues and provide resolution path,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.
TKT-68F688B4,2025-08-13,support_ticket,Harborview Community Bank,CFO,Reporting & Analytics,Interest calculation rounding error in loan amortization schedule.,In Progress,Low,Casey Patel,Support Portal,Payment Reconciliation,Negative,True,True,Medium,High,High,Confirm payment reconciliation status with account team,Interest calculation rounding error in loan amortization schedule.
TKT-45CCA77D,2025-08-15,support_ticket,Harborview Community Bank,CFO,Compliance Reporting,Lending workflow stuck at approval stage for loan ID LN10053. Blocking disbursement.,In Progress,Medium,Taylor Brooks,Support Portal,Compliance Reporting,Negative,True,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Lending workflow stuck at approval stage for loan ID LN10053. Blocking disbursement.
TKT-E30AECD1,2025-08-15,support_ticket,Harborview Community Bank,Core Banking Admin,Admin & Permissions,"Payment reconciliation discrepancy flagged by auditor — $40,560 off on Q4 2024 batch.",Open,Medium,Morgan Lee,Support Portal,Compliance Reporting,Negative,True,True,Medium,High,High,Review compliance reporting capabilities before renewal call,"Payment reconciliation discrepancy flagged by auditor — $40,560 off on Q4 2024 batch."
TKT-21ED86FB,2025-09-02,support_ticket,Harborview Community Bank,Branch Manager,User Management,Admin permission change for new user user360 not propagating to sub-modules.,Resolved,Low,Jordan Kim,Support Portal,Admin Permissions,Neutral,False,True,Low,Medium,Medium,Review record and include in account health summary,Admin permission change for new user user360 not propagating to sub-modules.
QBR-1FD8D719,2025-09-15,qbr_notes,Harborview Community Bank,CFO,Payment Reconciliation,Migration from legacy Payment Reconciliation system discussed — client wants phased approach.,Completed,Medium,Taylor Brooks,QBR Meeting,Payment Reconciliation,Neutral,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Migration from legacy Payment Reconciliation system discussed — client wants phased approach.
QBR-12D86747,2025-09-15,qbr_notes,Harborview Community Bank,CFO,Payment Reconciliation,Client satisfied with recent Payment Reconciliation improvements but concerned about support response times.,No Action Required,Medium,Alex Rivera,QBR Meeting,Payment Reconciliation,Positive,False,True,Low,High,Medium,Review record and include in account health summary,Client satisfied with recent Payment Reconciliation improvements but concerned about support response times.
FB-6738F573,2025-09-22,product_feedback,Harborview Community Bank,VP of Operations,Core Banking,Payment Reconciliation integration with our core system still feels brittle — we get silent failures weekly.,Pending Review,High,,Feedback Form,Payment Reconciliation,Negative,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,Payment Reconciliation integration with our core system still feels brittle — we get silent failures weekly.
FB-E9FFD0CC,2025-10-13,product_feedback,Harborview Community Bank,CFO,Core Banking,User Management integration with our core system still feels brittle — we get silent failures weekly.,Reviewed,High,,Feedback Form,Admin Permissions,Negative,False,True,High,High,High,Review admin permission issues and provide resolution path,User Management integration with our core system still feels brittle — we get silent failures weekly.
EM-3D9CEF96,2025-10-18,account_email,Harborview Community Bank,Branch Manager,Payment Reconciliation,We need to revisit the date range filter commitment from our last QBR. January 2026 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Jordan Kim,Email,Payment Reconciliation,Neutral,True,True,Medium,High,High,Confirm payment reconciliation status with account team,We need to revisit the date range filter commitment from our last QBR. January 2026 is approaching and we haven't seen any…
EM-E402D4CE,2025-10-22,account_email,Harborview Community Bank,VP of Operations,User Management,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Escalated,Low,Casey Patel,Email,Admin Permissions,Negative,True,True,High,High,High,Review admin permission issues and provide resolution path,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.
TKT-77E9E452,2025-11-10,support_ticket,Harborview Community Bank,CFO,Lending Workflow,Lending workflow stuck at approval stage for loan ID LN99593. Blocking disbursement.,Resolved,High,Morgan Lee,Support Portal,Payment Reconciliation,Negative,False,False,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,Lending workflow stuck at approval stage for loan ID LN99593. Blocking disbursement.
FB-8F89F0AB,2025-11-30,product_feedback,Harborview Community Bank,CFO,Data Exports,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,Medium,,Feedback Form,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,"The reporting is good but we can't customize column order, which is frustrating during audits."
QBR-20C6FB4A,2025-12-09,qbr_notes,Harborview Community Bank,Loan Operations Manager,Admin & Permissions,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.,Completed,Medium,Alex Rivera,QBR Meeting,Follow-up / Ownership,Negative,False,False,Medium,Medium,Medium,Confirm owner and next step with client before renewal,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.
QBR-DAB0B4C8,2025-12-09,qbr_notes,Harborview Community Bank,Loan Operations Manager,Core Banking,Client raised unresolved Integrations issues from prior quarter. Action item assigned to Taylor.,Overdue,Medium,Jordan Kim,QBR Meeting,Data Access,Negative,True,False,High,High,High,Investigate integration feed reliability and escalate if systemic,Client raised unresolved Integrations issues from prior quarter. Action item assigned to Taylor.
FB-6690EBAC,2025-12-12,product_feedback,Harborview Community Bank,IT Director,Dashboard,Scheduled reports are unreliable — missed two weeks in a row without any notification.,Reviewed,High,,Feedback Form,Dashboard Limitations,Negative,False,True,High,High,High,Escalate repeated dashboard issue and confirm fix timeline,Scheduled reports are unreliable — missed two weeks in a row without any notification.
TKT-9818DA9A,2025-12-18,support_ticket,Harborview Community Bank,IT Director,Admin & Permissions,Lending workflow stuck at approval stage for loan ID LN53540. Blocking disbursement.,Open,Medium,Morgan Lee,Support Portal,Payment Reconciliation,Negative,True,True,Medium,High,High,Confirm payment reconciliation status with account team,Lending workflow stuck at approval stage for loan ID LN53540. Blocking disbursement.
FB-051A133B,2025-12-22,product_feedback,Harborview Community Bank,Loan Operations Manager,Data Exports,Would love to see scheduled snapshots added — other platforms we've used had this out of the box.,Pending Review,High,,Feedback Form,Feature Request,Positive,True,False,Medium,Low,Low,Log feature request and acknowledge with client timeline,Would love to see scheduled snapshots added — other platforms we've used had this out of the box.
TKT-6FA3229F,2025-12-31,support_ticket,Harborview Community Bank,Branch Manager,Payment Reconciliation,Audit trail missing for permission changes in admin console.,Resolved,Low,Morgan Lee,Support Portal,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Audit trail missing for permission changes in admin console.
EM-B6EA5C5E,2026-01-09,account_email,Harborview Community Bank,Loan Operations Manager,User Management,Our auditors have flagged the missing audit trail in Core Banking. This is now a regulatory risk for us.,Awaiting Response,Medium,Taylor Brooks,Email,Compliance Reporting,Negative,True,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Our auditors have flagged the missing audit trail in Core Banking. This is now a regulatory risk for us.
TKT-B43436AA,2026-01-28,support_ticket,Harborview Community Bank,Core Banking Admin,Dashboard,Scheduled report not emailing to distribution list since last update.,Escalated,Low,Alex Rivera,Support Portal,Dashboard Limitations,Neutral,True,True,High,High,High,Escalate repeated dashboard issue and confirm fix timeline,Scheduled report not emailing to distribution list since last update.
TKT-65FC3705,2026-01-31,support_ticket,Harborview Community Bank,Loan Operations Manager,Data Exports,User unable to run ACH batch report — system times out after 30 seconds. This is blocking month-end close.,In Progress,Critical,Jordan Kim,Support Portal,Payment Reconciliation,Negative,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,User unable to run ACH batch report — system times out after 30 seconds. This is blocking month-end close.
EM-87C7906D,2026-02-03,account_email,Harborview Community Bank,CFO,Core Banking,Our auditors have flagged the missing audit trail in Reporting & Analytics. This is now a regulatory risk for us.,Closed,Medium,Alex Rivera,Email,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Our auditors have flagged the missing audit trail in Reporting & Analytics. This is now a regulatory risk for us.
TKT-21CBCB1D,2026-02-04,support_ticket,Harborview Community Bank,Compliance Officer,Dashboard,Compliance report for HMDA cannot be generated — field mapping broken.,Resolved,Medium,Morgan Lee,Support Portal,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Compliance report for HMDA cannot be generated — field mapping broken.
FB-D8E2323C,2026-02-26,product_feedback,Harborview Community Bank,Compliance Officer,Dashboard,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.,Reviewed,High,,Feedback Form,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.
EM-9BA0A6C1,2026-02-28,account_email,Harborview Community Bank,CFO,User Management,We appreciate the responsiveness on Core Banking — wanted to acknowledge that the last update improved things for our lending team.,Closed,High,Casey Patel,Email,Lending Workflow,Positive,False,False,Medium,High,Medium,Review lending workflow open items before next QBR,We appreciate the responsiveness on Core Banking — wanted to acknowledge that the last update improved things for our lending…
FB-0973B868,2026-03-08,product_feedback,Harborview Community Bank,Compliance Officer,Data Exports,We submitted this User Management feedback six months ago and haven't seen it addressed.,Reviewed,High,,Feedback Form,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,We submitted this User Management feedback six months ago and haven't seen it addressed.
QBR-8057B6DE,2026-03-17,qbr_notes,Harborview Community Bank,Core Banking Admin,User Management,Client expressed intent to expand usage to 2 additional branches if Payment Reconciliation issues are resolved.,Overdue,Medium,Morgan Lee,QBR Meeting,Payment Reconciliation,Negative,True,False,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,Client expressed intent to expand usage to 2 additional branches if Payment Reconciliation issues are resolved.
QBR-292EF6AB,2026-03-17,qbr_notes,Harborview Community Bank,IT Director,Dashboard,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.,Open,Medium,Casey Patel,QBR Meeting,Manual Workaround,Neutral,True,False,Medium,Medium,Medium,Prepare roadmap response on manual workaround reduction,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.
FB-BCB65BBA,2026-03-26,product_feedback,Harborview Community Bank,VP of Operations,Dashboard,Permissions in Integrations are confusing. New staff struggle with onboarding.,Pending Review,High,,Feedback Form,Admin Permissions,Negative,True,True,High,High,High,Review admin permission issues and provide resolution path,Permissions in Integrations are confusing. New staff struggle with onboarding.
TKT-204B556E,2026-03-30,support_ticket,Harborview Community Bank,Loan Operations Manager,Admin & Permissions,Interest calculation rounding error in loan amortization schedule.,Resolved,Medium,Taylor Brooks,Support Portal,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Interest calculation rounding error in loan amortization schedule.
TKT-819058AA,2026-04-30,support_ticket,Harborview Community Bank,Core Banking Admin,User Management,Admin permission change for new user user195 not propagating to sub-modules.,In Progress,Low,Alex Rivera,Support Portal,Admin Permissions,Neutral,True,True,Low,Medium,Medium,Confirm owner and next step with client,Admin permission change for new user user195 not propagating to sub-modules.
